nis_code,postal_code,name
23088,1800,Vilvoorde
23089,1602,Vlezenbeek
23090,1570,Vollezele
23091,1741,Wambeek
23092,1982,Weerde
23093,1861,Wolvertem
23094,1930,Zaventem
23095,1731,Zellik
23096,1980,Zemst
23097,1760,Roosdaal
23098,1620,Drogenbos
23099,1950,Kraainem
23100,1630,Linkebeek
23101,1640,Sint-Genesius-Rode
23102,1780,Wemmel
23103,1970,Wezembeek-Oppem
23105,1790,Affligem
24001,3200,Aarschot
24002,3460,Assent
24003,3404,Attenhoven
24004,3384,Attenrode
24005,3271,Averbode
24006,3128,Baal
24007,3130,Begijnendijk
24008,3460,Bekkevoort
24009,3060,Bertem
24010,3130,Betekom
24011,3360,Bierbeek
24012,3211,Binkom
24013,3052,Blanden
24014,3190,Boortmeerbeek
24015,3300,Bost
24016,3370,Boutersem
24017,3440,Budingen
24018,3380,Bunsbeek
24019,2100,Deurne
24020,3290,Diest
24021,3440,Dormaal
24022,3350,Drieslinter
24023,3080,Duisburg
24024,3400,Eliksem
24025,3071,Erps-Kwerps
24026,3078,Everberg
24027,3400,Ezemaal
24028,3450,Geetbets
24029,3200,Gelrode
24031,3300,Goetsenhoven
24032,3450,Grazen
24033,3150,Haacht
24034,3053,Haasrode
24035,3300,Hakendover
24036,3440,Halle-Booienhoven
24037,3440,Helen-Bos
24038,3020,Herent
24039,3191,Hever
24040,3001,Heverlee
24041,3320,Hoegaarden
24042,3471,Hoeleden
24043,3220,Holsbeek
24044,3390,Houwaart
24045,3040,Huldenberg
24046,3293,Kaggevinne
24047,2950,Kapellen
24048,3140,Keerbergen
24049,3370,Kerkom
24050,3472,Kersbeek-Miskom
24052,3060,Korbeek-Dijle
24053,3360,Korbeek-Lo
24054,3470,Kortenaken
24055,3070,Kortenberg
24056,3220,Kortrijk-Dutsel
24057,3300,Kumtich
24058,3400,Laar
24059,3400,Landen
24060,3201,Langdorp
24061,3061,Leefdaal
24062,3000,Leuven
24063,3210,Linden
24064,3040,Loonbeek
24065,3360,Lovenjoel
24066,3210,Lubbeek
24067,3391,Meensel-Kiezegem
24068,3078,Meerbeek
24070,3350,Melkwezer
24071,3272,Messelbroek
24072,3461,Molenbeek-Wersbeek
24073,3294,Molenstede
24074,3350,Neerhespen
24075,3040,Neerijse
24076,3404,Neerlanden
24077,3350,Neerlinter
24079,3400,Neerwinden
24080,3221,Nieuwrode
24081,3300,Oorbeek
24082,3300,Oplinter
24084,3350,Orsmaal-Gussenhoven
24085,3040,Ottenburg
24086,3050,Oud-Heverlee
24087,3321,Outgaarden
24088,3350,Overhespen
24089,3400,Overwinden
24090,3212,Pellenberg
24091,3470,Ransberg
24092,3202,Rillaar
24093,3370,Roosbeek
24094,3110,Rotselaar
24095,3454,Rummen
24096,3400,Rumsdorp
24097,3290,Schaffen
24098,3270,Scherpenheuvel
24099,3040,Sint-Agatha-Rode
24100,3051,Sint-Joris-Weert
24101,3390,Sint-Joris-Winge
24102,3300,Sint-Margriete-Houtem
24103,3220,Sint-Pieters-Rode
24104,3080,Tervuren
24105,3272,Testelt
24106,3390,Tielt
24107,3300,Tienen
24108,3150,Tildonk
24109,3120,Tremelo
24110,3054,Vaalbeek
24111,3020,Veltem-Beisem
24113,3300,Vissenaken
24114,3080,Vossem
24115,3473,Waanrode
24118,3401,Walshoutem
24119,3400,Wange
24120,3290,Webbekom
24121,3118,Werchter
24122,3150,Wespelaar
24123,3111,Wezemaal
24126,3012,Wilsele
24127,3020,Winksele
24128,3350,Wommersom
24129,3271,Zichem
24130,3440,Zoutleeuw
24133,3350,Linter
24137,3380,Glabbeek
25002,1367,Autre-Eglise
25003,1470,Baisy-Thy
25004,1401,Baulers
25006,1301,Bierges
25008,1390,Biez
25009,1367,Bomal
25010,1325,Bonlez
25011,1404,Bornival
25012,1390,Bossut-Gottechain
25013,1470,Bousval
25016,1341,Céroux-Mousty
25017,1450,Chastre-Villeroux-Blanmont
25018,1325,Chaumont-Gistoux
25020,1435,Corbais
25021,1325,Corroy-le-Grand
25022,1450,Cortil-Noirmont
25023,1490,Court-Saint-Étienne
25024,1380,Couture-Saint-Germain
25027,1370,Dongelberg
25028,1350,Enines
25029,1350,Folx-les-Caves
25030,1367,Geest-Gérompont-Petit-Rosière
25032,1450,Gentinnes
25033,1332,Genval
25034,1473,Glabais
25035,1315,Glimes
25036,1367,Grand-Rosière-Hottomont
25038,1320,Hamme-Mille
25039,1461,Haut-Ittre
25041,1476,Houtain-le-Val
25042,1367,Huppaye
25043,1315,Incourt
25045,1350,Jandrain-Jandrenouille
25047,1370,Jauchelette
25051,1380,Lasne-Chapelle-Saint-Lambert
25052,1370,Lathuy
25053,3700,Sluizen
25055,1300,Limal
25056,1342,Limelette
25058,1325,Longueville
25059,1471,Loupoigne
25060,1360,Malèves-Sainte-Marie-Wastinnes
25061,1380,Maransart
25062,1495,Marbais
25063,1350,Marilles
25065,1495,Mellery
25066,1400,Monstreux
25067,1367,Mont-Saint-André
25068,1435,Mont-Saint-Guibert
25069,1357,Neerheylissem
25070,1390,Nethen
25071,1457,Nil-Saint-Vincent-Saint-Martin
25073,1320,Nodebais
25074,1350,Noduwez
25076,1380,Ohain
25078,1421,Ophain-Bois-Seigneur-Isaac
25079,1357,Opheylissem
25080,1315,Opprebais
25081,1360,Orbais
25082,1350,Orp-le-Grand
25083,1340,Ottignies
25086,1315,Piétrebais
25087,1380,Plancenoit
25088,1430,Quenast
25090,3370,Roosbeek
25091,1330,Rixensart
25092,1331,Rosières
25093,1315,Roux-Miroir
25094,1450,Saint-Géry
25098,1495,Sart-Dames-Avelines
25099,1402,Thines
25100,1360,Thorembais-les-Béguines
25101,1360,Thorembais-Saint-Trond
25102,1495,Tilly
25103,2100,Deurne
25104,1457,Tourinnes-Saint-Lambert
25106,1472,Vieux-Genappe
25107,1495,Villers-la-Ville
25108,1460,Virginal-Samme
25109,1457,Walhain-Saint-Paul
